point	title	description	iconSize	iconOffset	icon
35.5224440,135.5069170	高浜原子力発電所	opérateur : 関西電力株式会社</br>réf : 1</br>mise en service : 1974-11-14</br>puissance : 826.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.5387780,132.9997500	島根原子力発電所	opérateur : 中国電力株式会社</br>réf : 2</br>mise en service : 1989-02-10</br>puissance : 820.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4274277,141.0288625	福島第一原子力発電所	opérateur : 東京電力株式会社</br>réf : 8</br>mise en service : 2013-10</br>puissance : 1.380MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4274066,141.0287830	福島第一原子力発電所	opérateur : 東京電力株式会社</br>réf : 7</br>mise en service : 2012-10</br>puissance : 1.380MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
31.8344168,130.1901944	川内原子力発電所	opérateur : 九州電力株式会社</br>réf : 1</br>mise en service : 1984-07-04</br>puissance : 890.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.7899896,132.0352154	上関原子力発電所	opérateur : 中国電力株式会社</br>réf : 1</br>mise en service : 2014</br>puissance : 1.373MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4273610,138.5942220	柏崎刈羽原子力発電所	opérateur : 東京電力株式会社</br>réf : 4</br>mise en service : 1994-08-11</br>puissance : 1.100MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.7525000,136.0181670	敦賀原子力発電所	opérateur : 日本原子力発電株式会社</br>réf : 3</br>mise en service : 2014-03</br>puissance : 1.538MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
38.3998060,141.5026390	女川原子力発電所	opérateur : 東北電力株式会社</br>réf : 1</br>mise en service : 1984-06-01</br>puissance : 524.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.5402780,135.6541670	大飯原子力発電所	opérateur : 関西電力株式会社</br>réf : 2</br>mise en service : 1979-12-05</br>puissance : 1.175MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
